cik,tic,Year,cluster_10,cluster_100
768899,TBI,2021,3,39
1308208,ULH,2021,8,61
1520697,ACHC,2021,3,4
813828,PARA,2021,3,40
1692063,SNDR,2021,8,61
874716,IDXX,2021,7,99
91440,SNA,2021,4,97
88121,SEB,2021,8,58
1355096,QRTEA,2021,0,40
860730,HCA,2021,3,4
18255,CATO,2021,0,50
105016,WSO,2021,1,60
908255,BWA,2021,4,51
1705110,ANGI,2021,3,42
49754,DIN,2021,0,54
89439,MLI,2021,1,52
1579877,OUT,2021,3,49
1004980,PCG,2021,6,45
1711269,EVRG,2021,6,8
93751,STT,2021,5,16
101829,RTX,2021,4,64
1206264,TPX,2021,0,78
1166003,XPO,2021,8,53
911177,CWST,2021,9,5
1411207,ALSN,2021,4,6
36146,TRMK,2021,5,7
896262,AMED,2021,3,42
935703,DLTR,2021,0,50
849399,GEN,2021,3,87
1468328,ADUS,2021,3,42
1107843,QLYS,2021,3,87
40729,ALLY,2021,5,33
62709,MMC,2021,3,15
96021,SYY,2021,0,0
780571,ITRI,2021,1,63
66740,MMM,2021,4,85
1019849,PAG,2021,2,31
12208,BIO,2021,7,11
1659166,FTV,2021,7,97
1035201,CWT,2021,6,74
1062231,AXL,2021,4,51
824142,AAON,2021,1,60
1075531,BKNG,2021,2,24
1050825,SCS,2021,4,52
1005284,OLED,2021,7,68
94845,LEVI,2021,0,34
891166,UVE,2021,5,43
11544,WRB,2021,5,15
1136893,FIS,2021,5,3
717954,UNF,2021,8,12
1468174,H,2021,2,24
1653653,RRR,2021,2,69
1627223,CC,2021,8,85
1021860,NOV,2021,9,89
1744489,DIS,2021,2,76
100517,UAL,2021,2,27
