tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
ES,Eversource Energy (NYSE:ES),4057052.0,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The co","Eversource Energy, through its wholly-owned utility subsidiaries, engages primarily in the energy de",Clean Energy; Energy Efficiency; Energy Management; Energy Storage; CleanTech; Power Grid; Utility Scale Solar; Onshore and Offshore Wind,ES,NYSE:ES,Eversource Energy,both,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The co","Eversource Energy, a public utility holding company, engages in the energy delivery business. The co"
CSGS,"CSG Systems International, Inc. (NASDAQGS:CSGS)",4090254.0,"CSG Systems International, Inc., together with its subsidiaries, provides revenue management and dig","CSG Systems International, Inc. (CSG) operates as a purpose-driven, SaaS platform company that enabl",Software Development; Cloud Management; Data Integration; Data Protection; Cloud Infrastructure; Cloud Security; Process Automation,CSGS,NASDAQGS:CSGS,"CSG Systems International, Inc.",both,"CSG Systems International, Inc., together with its subsidiaries, provides revenue management and dig","CSG Systems International, Inc., together with its subsidiaries, provides revenue management and dig"
SRI,"Stoneridge, Inc. (NYSE:SRI)",4132775.0,"Stoneridge, Inc., together with its subsidiaries, designs and manufactures engineered electrical and","Stoneridge, Inc. is a global designer and manufacturer of highly engineered electrical and electroni",Fleet Management; GPS; Industrial Automation; Navigation; Physical Security; Sensors; Autonomous Vehicles,SRI,NYSE:SRI,"Stoneridge, Inc.",both,"Stoneridge, Inc., together with its subsidiaries, designs and manufactures engineered electrical and","Stoneridge, Inc., together with its subsidiaries, designs and manufactures engineered electrical and"
ARES,Ares Management Corporation (NYSE:ARES),4438507.0,"Ares Management Corporation operates as an alternative asset manager in the United States, Europe, a",nan,,ARES,NYSE:ARES,Ares Management Corporation,both,"Ares Management Corporation operates as an alternative asset manager in the United States, Europe, a","Ares Management Corporation operates as an alternative asset manager in the United States, Europe, a"
SNX,TD SYNNEX Corporation (NYSE:SNX),4149366.0,TD SYNNEX Corporation operates as a distributor and solutions aggregator for the information technol,TD SYNNEX Corporation operates as a leading global distributor and solutions aggregator for the info,Software Development; Cloud Management; Data Integration; Cloud Infrastructure; Cloud Security; Cloud Storage; Data Center Technology,SNX,NYSE:SNX,TD SYNNEX Corporation,both,TD SYNNEX Corporation operates as a distributor and solutions aggregator for the information technol,TD SYNNEX Corporation operates as a distributor and solutions aggregator for the information technol
BBSI,"Barrett Business Services, Inc. (NASDAQGS:BBSI)",4259706.0,"Barrett Business Services, Inc. provides business management solutions for small and mid-sized compa","Barrett Business Services, Inc. (BBSI) provides business management solutions for small and mid-size",Employee Benefits; Employee Assistance Program (EAP),BBSI,NASDAQGS:BBSI,"Barrett Business Services, Inc.",both,"Barrett Business Services, Inc. provides business management solutions for small and mid-sized compa","Barrett Business Services, Inc. provides business management solutions for small and mid-sized compa"
MUSA,Murphy USA Inc. (NYSE:MUSA),4912162.0,Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The ,"Murphy USA Inc. (Murphy USA), through its subsidiaries, engages in marketing retail motor fuel produ",Fast-Moving Consumer Goods; Marine Transportation,MUSA,NYSE:MUSA,Murphy USA Inc.,both,Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The ,Murphy USA Inc. engages in marketing of retail motor fuel products and convenience merchandise. The 
FNB,F.N.B. Corporation (NYSE:FNB),100237.0,"F.N.B. Corporation, a bank and financial holding company, provides a range of financial products and",F.N.B. Corporation and its subsidiaries (FNB) operate as a bank holding company and a financial hold,Consumer Lending; Digital Brokerage,FNB,NYSE:FNB,F.N.B. Corporation,both,"F.N.B. Corporation, a bank and financial holding company, provides a range of financial products and","F.N.B. Corporation, a bank and financial holding company, provides a range of financial products and"
OKE,"ONEOK, Inc. (NYSE:OKE)",4010846.0,"ONEOK, Inc. engages in gathering, processing, fractionation, storage, transportation, and marketing ","ONEOK, Inc. delivers energy products and services vital to an advancing world. The company is a lead",Marine Transportation,OKE,NYSE:OKE,"ONEOK, Inc.",both,"ONEOK, Inc. engages in gathering, processing, fractionation, storage, transportation, and marketing ","ONEOK, Inc. engages in gathering, processing, fractionation, storage, transportation, and marketing "
AFG,"American Financial Group, Inc. (NYSE:AFG)",103424.0,"American Financial Group, Inc., an insurance holding company, provides specialty property and casual","American Financial Group, Inc. (AFG) operates as an insurance holding company. The company, through ",Anti-Fraud,AFG,NYSE:AFG,"American Financial Group, Inc.",both,"American Financial Group, Inc., an insurance holding company, provides specialty property and casual","American Financial Group, Inc., an insurance holding company, provides specialty property and casual"
