cik,tic,Year,cluster_10,cluster_100
1361538,PRIM,2021,6,57
37472,FLXS,2021,3,87
1674168,HGV,2021,3,16
108516,WOR,2021,8,47
1417398,HI,2021,8,60
1385280,CNK,2021,9,64
868671,GBCI,2021,4,40
1666700,DD,2021,8,34
49196,HBAN,2021,4,40
59527,LECO,2021,2,60
55067,K,2021,0,0
1158463,JBLU,2021,2,54
868857,ACM,2021,9,81
759944,CFG,2021,4,40
10329,BSET,2021,3,31
1597033,SABR,2021,9,54
1049502,MKSI,2021,9,71
60714,LXU,2021,8,35
1708035,ECVT,2021,8,85
708955,FFBC,2021,4,40
1337298,FF,2021,8,85
876523,EZPW,2021,4,10
891014,MTX,2021,8,85
894405,ARCB,2021,2,19
320187,NKE,2021,7,48
1041061,YUM,2021,0,88
75677,PKG,2021,8,61
1792044,VTRS,2021,1,23
27904,DAL,2021,2,54
813762,IEP,2021,8,18
33213,EQT,2021,8,25
1286681,DPZ,2021,0,88
1723128,AMRX,2021,1,23
1490281,GRPN,2021,9,6
84839,ROL,2021,8,81
795403,WTS,2021,6,77
1441236,CLW,2021,3,61
1710366,CEIX,2021,8,15
850429,TG,2021,8,93
21665,CL,2021,8,18
1005731,IDT,2021,9,45
81362,KWR,2021,8,60
883948,AUB,2021,4,40
67347,MOD,2021,2,67
1280058,BLKB,2021,9,56
100726,UFI,2021,8,93
949870,SAM,2021,0,26
1056285,KIRK,2021,7,78
1326380,GME,2021,7,6
928054,FTK,2021,8,46
1046257,INGR,2021,0,96
1688568,DXC,2021,9,68
78814,PBI,2021,9,89
97210,TER,2021,9,38
1336920,LDOS,2021,9,81
719413,HL,2021,8,15
63276,MAT,2021,7,74
313143,HAE,2021,1,14
8858,AVT,2021,9,45
1091667,CHTR,2021,9,52
73756,OII,2021,8,46
1579684,GCI,2021,9,22
46250,HWKN,2021,8,35
852772,DENN,2021,0,37
1464343,ATLC,2021,4,10
822818,CLH,2021,8,3
1121484,OIS,2021,8,46
1692115,SWX,2021,6,98
742278,RES,2021,8,46
1611647,FRPT,2021,0,0
1078271,EXTR,2021,9,29
30625,FLS,2021,8,71
1043277,CHRW,2021,2,50
1675149,AA,2021,8,15
64996,MCY,2021,5,80
76267,PKE,2021,9,95
1439095,MRC,2021,8,71
1065059,LEU,2021,8,98
719220,STBA,2021,4,40
51434,IP,2021,8,61
1531152,BJ,2021,7,78
1755672,CTVA,2021,8,59
764180,MO,2021,0,26
1674101,VRT,2021,9,45
1000228,HSIC,2021,1,1
775158,OSK,2021,2,51
1564408,SNAP,2021,9,74
59558,LNC,2021,5,4
799167,MRTN,2021,2,19
882184,DHI,2021,3,66
1339605,HEES,2021,2,13
1084961,ECPG,2021,4,9
1065088,EBAY,2021,9,6
50725,GFF,2021,3,58
1630805,BW,2021,6,98
42582,GT,2021,2,17
78890,BCO,2021,4,39
31235,KODK,2021,9,93
1691303,HCC,2021,8,15
72333,JWN,2021,7,73
1285785,MOS,2021,8,35
750577,HWC,2021,4,40
1099800,EW,2021,1,14
1034054,SBAC,2021,9,52
1282637,NEU,2021,8,85
876437,MTG,2021,5,63
95552,SUP,2021,2,11
1328581,BCC,2021,3,44
785956,JJSF,2021,0,41
1652044,GOOGL,2021,9,42
794170,TOL,2021,3,43
901491,PZZA,2021,0,88
885639,KSS,2021,7,73
1022079,DGX,2021,1,5
105634,EME,2021,6,81
1086222,AKAM,2021,9,68
310354,SXI,2021,2,60
14272,BMY,2021,1,23
1260221,TDG,2021,2,21
1111335,VC,2021,2,99
927628,COF,2021,4,40
923796,GEO,2021,9,57
1349436,SD,2021,8,62
1604028,WMS,2021,8,94
