caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
64.779,1084.694,1880.607,214.015,12.1835,542.762,138.436,-14.714,878.478,61.421,41719.0,2021.0
3107.0,17522.0,21402.0,4148.0,17.74,4999.0,1088.0,932.0,12768.0,882.0,42582.0,2021.0
742.288,1987.608,2443.198,78.432,10.0368,1709.343,624.302,483.862,895.759,57.9,42888.0,2021.0
27.77,122.814,183.691,16.662,9.0724,96.494,14.741,-7.847,108.999,5.599,716314.0,2021.0
1270.0,13022.0,6592.0,816.0,36.5873,1874.0,241.0,1050.0,8179.0,186.0,277135.0,2021.0
0.0,2413.0,11108.0,59.0,18.5014,1757.0,189.0,102.0,1607.0,221.0,43196.0,2021.0
1400.3,1283.6,4476.5,124.1,-2.0391,-185.0,155.2,-42.3,684.1,57.0,1273931.0,2021.0
2428.0,6420.4,10037.8,580.2,21.8918,3025.9,1019.2,395.0,3013.2,280.1,46080.0,2021.0
0.0,403.516,470.785,36.714,12.2233,187.762,22.463,19.289,270.598,18.107,46129.0,2021.0
102.572,1012.799,686.29,31.235,14.9472,255.97,166.146,91.07,421.87,16.304,216085.0,2021.0
294.124,1641.959,777.529,64.419,6.1364,452.677,70.794,44.3,1406.815,8.267,731012.0,2021.0
280.274,1581.766,1230.996,144.982,12.0238,358.767,81.84,68.664,1344.272,34.201,874238.0,2021.0
320.747,1865.682,3498.407,85.544,16.7031,2263.071,108.298,330.293,1046.355,91.904,46619.0,2021.0
53379.0,26042.0,93394.0,4753.0,40.2761,49298.0,3445.0,1173.0,16437.0,910.0,1637459.0,2021.0
303.74,2223.355,2823.451,308.178,55.7705,1327.339,33.381,235.622,1242.44,35.829,916789.0,2021.0
529.903,1218.568,5034.128,71.996,26.9939,2912.618,917.534,-320.206,957.738,419.726,46765.0,2021.0
878.6,1324.7,2819.4,113.2,17.6845,1485.5,127.7,-50.8,936.6,138.0,717605.0,2021.0
1.742,104.162,90.963,11.46,10.1554,34.64,1.494,5.653,79.259,2.991,47307.0,2021.0
707.6,3007.2,4999.1,229.9,28.5261,1879.7,271.8,292.7,1358.6,185.8,47518.0,2021.0
4220.075,18389.142,12916.613,1613.484,34.8948,5687.885,234.444,652.463,16746.661,503.539,1915657.0,2021.0
12132.0,151157.0,71876.0,13462.0,-1.6386,-1696.0,2343.0,16400.0,100061.0,2650.0,354950.0,2021.0
39.192,2184.408,1497.897,233.759,13.8473,589.644,52.27,62.189,1366.357,83.146,48287.0,2021.0
360.336,11386.189,12696.329,793.31,12.8553,6972.883,613.53,1027.52,9244.092,201.29,48465.0,2021.0
0.0,4194.1,5281.5,532.8,40.9003,2229.8,286.2,404.0,2937.7,147.0,48898.0,2021.0
448.217,12168.302,6794.348,772.736,29.6669,3117.816,355.549,760.806,10344.098,557.093,728535.0,2021.0
63.924,235.195,332.935,48.881,36.0258,238.419,84.063,8.013,175.996,4.193,315374.0,2021.0
50.8,937.8,309.8,66.4,3.3989,93.1,3.3,48.5,724.9,4.9,1093082.0,2021.0
9.604,0.0,0.005,0.001,-0.0074,-0.384,0.0,0.101,0.0,0.0,726037.0,2021.0
578.893,2270.626,2604.685,260.14,14.2575,807.158,248.653,105.326,1583.65,52.302,50725.0,2021.0
16.261,48.248,58.148,2.763,5.0488,43.874,29.244,8.985,19.106,3.796,320340.0,2021.0
19.734,11.353,7.272,0.404,0.238,3.323,1.801,1.749,7.707,0.167,719494.0,2021.0
253.11,1200.398,1330.057,85.924,6.1536,363.398,97.252,33.992,720.129,47.536,715787.0,2021.0
56868.0,57350.0,132001.0,3955.0,21.0463,18901.0,6650.0,10563.0,20240.0,6394.0,51143.0,2021.0
713.599,425.409,1628.156,7.155,24.2836,745.239,706.282,41.801,238.033,78.193,1405495.0,2021.0
4668.0,19363.0,25243.0,2606.0,23.9913,9082.0,1295.0,2655.0,15389.0,1097.0,51434.0,2021.0
