cik,tic,Year,GICS_Sector
1095073,RE,2021,40.0
912767,UFPI,2021,20.0
789019,MSFT,2021,45.0
1708055,RBBN,2021,45.0
352825,FSTR,2021,20.0
104169,WMT,2021,30.0
14693,BF.B,2021,30.0
1021162,TGI,2021,20.0
91419,SJM,2021,30.0
1564708,NWSA,2021,50.0
46129,AMOT,2021,20.0
1058623,CMLS,2021,50.0
21510,COHR.1,2021,45.0
1136352,CEQP,2021,10.0
1255474,WLL,2021,10.0
66570,MSA,2021,20.0
896156,ETD,2021,25.0
1164863,NPO,2021,20.0
1037868,AME,2021,20.0
1053352,HTBK,2021,40.0
745308,JOE,2021,60.0
1041803,PSMT,2021,30.0
1403161,V,2021,45.0
1677703,CNDT,2021,45.0
764401,IIIN,2021,20.0
945114,GIC,2021,20.0
1561680,TPH,2021,25.0
1276187,ET,2021,10.0
1174922,WYNN,2021,25.0
1576940,CCS,2021,25.0
102212,UVSP,2021,40.0
90498,SFNC,2021,40.0
916365,TSCO,2021,25.0
1274494,FSLR,2021,45.0
1012019,RUSHA,2021,20.0
913760,SNEX,2021,40.0
842633,TRS,2021,15.0
88205,SPXC,2021,20.0
48898,HUBB,2021,20.0
56047,KEX,2021,20.0
37996,F,2021,25.0
912242,MAC,2021,60.0
1402829,ORN,2021,20.0
910521,DECK,2021,25.0
898437,ANIK,2021,35.0
927653,MCK,2021,35.0
882835,ROP,2021,45.0
1466026,MSBI,2021,40.0
1060822,CRI,2021,25.0
43920,GEF,2021,15.0
1633931,BLD,2021,25.0
1032208,SRE,2021,55.0
1467858,GM,2021,25.0
929008,WCC,2021,20.0
67887,MOG.A,2021,20.0
1492633,NLSN,2021,20.0
1437107,WBD,2021,50.0
74303,OLN,2021,15.0
1320695,THS,2021,30.0
29644,DCI,2021,20.0
1047335,NHC,2021,35.0
1515156,ADES,2021,15.0
1326801,META,2021,50.0
88948,SENEA,2021,30.0
62996,MAS,2021,20.0
1138118,CBRE,2021,60.0
1601548,VVX,2021,20.0
1090727,UPS,2021,20.0
1069899,PAHC,2021,35.0
916076,MLM,2021,15.0
1133421,NOC,2021,20.0
882095,GILD,2021,35.0
861884,RS,2021,15.0
917520,IART,2021,35.0
883984,ICUI,2021,35.0
100493,TSN,2021,30.0
1031203,GPI,2021,25.0
1050797,COLM,2021,25.0
1455684,TPIC,2021,20.0
918541,NNBR,2021,20.0
906553,BYD,2021,25.0
877890,CTXS,2021,45.0
1362004,ICFI,2021,20.0
88941,SMTC,2021,45.0
1584207,OMF,2021,40.0
745732,ROST,2021,25.0
753308,NEE,2021,55.0
702165,NSC,2021,20.0
103145,VECO,2021,45.0
61986,MTW,2021,20.0
1057706,FBP,2021,40.0
915779,DAKT,2021,45.0
58361,LEE,2021,50.0
79282,BRO,2021,40.0
1031296,FE,2021,55.0
921557,RBCAA,2021,40.0
1274173,JHG,2021,40.0
1669779,CWH,2021,25.0
77543,TPC,2021,20.0
1616318,VSTO,2021,25.0
54381,KAMN,2021,20.0
1082554,UTHR,2021,35.0
912595,MAA,2021,60.0
1324272,RUTH,2021,25.0
1099219,MET,2021,40.0
105770,WST,2021,35.0
1368458,SBH,2021,25.0
